"48;4 Da Gang (with Roddy Ricch);42 Dugg;372221;https://open.spotify.com/track/4KIkADzoVm3A10E9qyjsQ5"
"49;Higher Power;Coldplay;366937;https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct"
"50;Big Gangsta;Kevin Gates;366655;https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP"
"51;Dick (feat. Doja Cat);StarBoi3;365195;https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0"
"52;Freaks;Surf Curse;361402;https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb"
"53;Lemonade (feat. Gunna; Don Toliver & NAV);Internet Money;354173;https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX"
"54;ROCKSTAR (feat. Roddy Ricch);DaBaby;352595;https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4"
"55;Body (Remix) [feat. ArrDee; E1 (3x3); ZT (3x3); Bugzy Malone; Buni; Fivio Foreign & Darkoo];Tion Wayne;351795;https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ"
"56;WITHOUT YOU;The Kid LAROI;350856;https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA"
"57;Fiel;Los Legendarios;347538;https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs"
"58;On Me;Lil Baby;341964;https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v"
"59;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;333785;https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S"
"60;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;330887;https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY"
"61;All Girls Are The Same;Juice WRLD;327895;https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1"
"62;Laugh Now Cry Later (feat. Lil Durk);Drake;326817;https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI"
"63;Circles;Post Malone;325954;https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb"
"64;What You Know Bout Love;Pop Smoke;324705;https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y"
"65;34+35;Ariana Grande;323526;https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF"
"66;Ski;Young Stoner Life;319285;https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1"
"67;Lucid Dreams;Juice WRLD;318204;https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR"
"68;Come & Go (with Marshmello);Juice WRLD;317239;https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG"
"69;Wishing Well;Juice WRLD;316815;https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv"
"70;Talking to the Moon;Bruno Mars;314500;https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU"
"71;Watermelon Sugar;Harry Styles;313823;https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY"
"72;Arcade;Duncan Laurence;309273;https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C"
