44;BED;Joel Corry;10.648.906;https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS;;;;;
45;Talking to the Moon;Bruno Mars;10.460.696;https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU;;;;;
46;We're Good;Dua Lipa;10.162.838;https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh;;;;;
47;I DID IT (feat. Post Malone; Megan Thee Stallion; Lil Baby & DaBaby);DJ Khaled;10008346;https://open.spotify.com/track/20GrahbI4AzAOWxpYfDKkf;;;
48;Best Friend (feat. Doja Cat);Saweetie;9.967.120;https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp;;;;;
49;Head & Heart (feat. MNEK);Joel Corry;9.844.201;https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9;;;;;
50;positions;Ariana Grande;9.580.101;https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0;;;;;
51;Good Days;SZA;9.340.205;https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A;;;;;
52;Baila Conmigo (with Rauw Alejandro);Selena Gomez;9.276.370;https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h;;;;;
53;Sweater Weather;The Neighbourhood;9.214.295;https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6;;;;;
54;Paradise (feat. Dermot Kennedy);MEDUZA;9.122.492;https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr;;;;;
55;Lemonade (feat. Gunna; Don Toliver & NAV);Internet Money;8794899;https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX;;;;
56;Ella No Es Tuya - Remix;Rochy RD;8.733.340;https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y;;;;;
57;Body (Remix) [feat. ArrDee; E1 (3x3); ZT (3x3); Bugzy Malone; Buni; Fivio Foreign & Darkoo];Tion Wayne;8665633;https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
58;ROCKSTAR (feat. Roddy Ricch);DaBaby;8.656.518;https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4;;;;;
59;Hecha Pa' Mi;Boza;8.601.789;https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx;;;;;
60;Dance Monkey;Tones And I;8.484.609;https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku;;;;;
61;Cover Me In Sunshine;P!nk;8.412.845;https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2;;;;;
62;Wants and Needs (feat. Lil Baby);Drake;8.408.987;https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b;;;;;
