103;Che senso ha;Franco126;441.345,00
104;Champagne 4 The Pain (feat. Gemitaiz & Noyz Narcos);Guè Pequeno;439.245,00
105;Street;Capo Plaza;438.206,00
106;M' Manc (con Geolier & Sfera Ebbasta);Shablo;434.724,00
107;Your Power;Billie Eilish;432.282,00
108;Save Your Tears;The Weeknd;431.906,00
109;ALTALENE (feat. Mara Sattei & Coez);BLOODY VINYL;431.572,00
110;Alex (feat. Lazza & Salmo);Guè Pequeno;428.514,00
111;Scrivile Scemo;Pinguini Tattici Nucleari;428.490,00
112;El Sendero;Caparezza;425.750,00
113;LA PROSSIMA VOLTA (64 Bars);Gemitaiz;423.689,00
114;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;420.114,00
115;polka 2 :-/;Rosa Chemical;418.641,00
116;Demone;MamboLosco;418.489,00
117;SEVEN 7oo (feat. Rondodasosa-Sacky-Vale Pain-Neima Ezza-Kilimoney-Keta-Nko);RM4E;416.714,00
118;Ride It;Regard;416.138,00
119;AMY (feat. Rkomi);TY1;415.611,00
120;Leggi dell’universo;Tancredi;409.545,00
121;Scusa - prod. tha Supreme;Mara Sattei;408.103,00
122;Il bacio di Klimt;Emanuele Aloia;407.467,00
123;Hollywood (feat. Diplo);Sfera Ebbasta;405.010,00
124;Chico (feat. Rose Villain & Luchè);Guè Pequeno;403.197,00
125;Ti volevo dedicare (feat. J-AX & Boomdabash);Rocco Hunt;403.058,00
126;Aggio Perzo 'o Suonno (feat. Coez-prod. TY1);Neffa;402.550,00
127;Blinding Lights;The Weeknd;397.249,00
128;Il tuo nome;Il Tre;397.029,00
129;Canthology;Caparezza;394.205,00
130;Iko Iko;Justin Wellington;388.157,00
131;ADESSO (feat. Massimo Pericolo);TY1;386.653,00
132;Magia;Alvaro Soler;386.358,00
133;Una volta ancora (feat. Ana Mena);Fred De Palma;385.542,00
134;We're Good;Dua Lipa;381.253,00
135;Breaking Me;Topic;375.778,00
136;Allenamento #4;Capo Plaza;374.392,00
137;L'ultima notte;ARIETE;370.509,00
138;Mood (feat. iann dior);24kGoldn;367.436,00
139;Fugadà;Caparezza;367.386,00
140;Che me chiamme a fa? (feat. Geolier);Rocco Hunt;365.086,00
141;Pasticche (feat. Capo Plaza);VillaBanks;361.313,00
142;Higher Power;Coldplay;360.169,00
143;Mantieni il bacio;Michele Bravi;355.679,00
144;Mai Dire Mai (La Locura);Willie Peyote;355.127,00
145;Indelebile;Fasma;349.812,00
146;Bottiglie Privè;Sfera Ebbasta;348.749,00
147;Another Love;Tom Odell;348.313,00
148;Bam Bam Twist (feat. Gow Tribe-Frenetik&Orang3);Achille Lauro;341.818,00
149;Coltellata (feat. tha Supreme);Gazzelle;341.036,00
150;CORALINE;Måneskin;338.877,00
151;Fuori di testa;Tancredi;338.780,00
152;Pa Ti;Baby K;338.668,00
153;AIRFORCE (feat. Madame);Massimo Pericolo;335.727,00
154;Spigoli (feat. Mara Sattei & tha Supreme);Carl Brave;335.261,00
155;Bella Storia;Fedez;334.800,00
156;drivers license;Olivia Rodrigo;332.928,00
157;Goosebumps - Remix;Travis Scott;332.522,00
158;Per sentirmi vivo;Fasma;332.065,00
159;Contronatura;Caparezza;330.647,00
